№,Секунда,Микросекунда
1,55,889602
2,55,905854
3,55,921478
4,55,937099
5,55,952738
6,55,968364
7,55,984015
8,55,999633
9,56,30765
10,56,46441
11,56,62138
12,56,77779
13,56,93406
14,56,109034
15,56,124670
16,56,140297
17,56,155937
18,56,171554
19,56,196735
20,56,213389
21,56,229095
22,56,251794
23,56,263749
24,56,279818
25,56,304713
26,56,320915
27,56,336355
28,56,352002
29,56,367871
30,56,383487
31,56,399116
32,56,414737
33,56,430384
34,56,446003
35,56,461644
36,56,477257
37,56,492890
38,56,508521
39,56,524148
40,56,539778
41,56,555404
42,56,571036
43,56,586670
44,56,602297
45,56,617931
46,56,633563
47,56,649188
48,56,664818
49,56,680462
50,56,696087
51,56,711702
52,56,729386
53,56,753509
54,56,763930
55,56,780718
56,56,796338
57,56,821170
58,56,837038
59,56,852664
60,56,868289
61,56,883930
62,56,899555
63,56,915191
64,56,930813
65,56,946442
66,56,962074
67,56,977561
68,56,993078
69,57,8723
70,57,24341
71,57,39973
72,57,55843
73,57,71472
74,57,87101
75,57,102725
76,57,118378
77,57,133991
78,57,149622
79,57,165253
80,57,180899
81,57,196520
82,57,212140
83,57,227783
84,57,250961
85,57,263302
86,57,280366
87,57,296246
88,57,312814
89,57,327991
90,57,344249
91,57,359878
92,57,375510
93,57,391145
94,57,406768
95,57,422405
96,57,438039
97,57,453664
98,57,469286
99,57,484918
100,57,500547
101,57,516172
102,57,531307
103,57,546805
104,57,563033
105,57,593715
106,57,609943
107,57,625570
108,57,641081
109,57,663591
110,57,678881
111,57,693016
112,57,707063
113,57,720785
114,57,737953
115,57,754359
116,57,764997
117,57,787468
118,57,804155
119,57,820180
120,57,839717
121,57,858847
122,57,872384
123,57,887715
124,57,912336
125,57,927959
126,57,943300
127,57,958619
128,57,974248
129,57,990728
130,58,15554
131,58,29559
132,58,42591
133,58,72867
134,58,89471
135,58,104392
136,58,129394
137,58,143106
138,58,154496
139,58,164675
140,58,179888
141,58,195993
142,58,212816
143,58,229387
144,58,246623
145,58,263084
146,58,279745
147,58,296463
148,58,313062
149,58,329768
150,58,346240
151,58,363067
152,58,379335
153,58,396391
154,58,412635
155,58,428654
156,58,438995
157,58,454578
158,58,470550
159,58,487290
160,58,506129
161,58,520589
162,58,537717
163,58,554006
164,58,571034
165,58,587394
166,58,603948
167,58,619974
168,58,638965
169,58,659968
170,58,673905
171,58,687634
172,58,710064
173,58,723184
174,58,746228
175,58,762249
176,58,778860
177,58,795825
178,58,811910
179,58,829784
180,58,862194
181,58,877846
182,58,894087
183,58,909713
184,58,940364
185,58,955978
186,58,971603
187,58,987235
188,59,2884
189,59,18491
190,59,34123
191,59,49751
192,59,65383
193,59,83094
194,59,95878
195,59,111874
196,59,127880
197,59,139257
198,59,156487
199,59,177404
200,59,195867
201,59,212459
202,59,228089
203,59,245739
204,59,262011
205,59,280350
206,59,295978
207,59,312245
208,59,342864
209,59,358516
210,59,370750
211,59,394705
212,59,409032
213,59,420511
214,59,444247
215,59,455447
216,59,471964
217,59,495978
218,59,506916
219,59,520907
220,59,538140
221,59,554405
222,59,570660
223,59,586297
224,59,612885
225,59,628950
226,59,639214
227,59,654023
228,59,679423
229,59,695992
230,59,711996
231,59,729817
232,59,745582
233,59,761594
234,59,778706
235,59,803469
236,59,820755
237,59,845627
238,59,862960
239,59,878949
240,59,903600
241,59,919198
242,59,934845
243,59,950099
244,59,966100
245,59,981742
246,0,1560
247,0,17190
248,0,32820
249,0,48473
250,0,64270
251,0,79737
252,0,95367
253,0,111236
254,0,126858
255,0,142232
256,0,158119
257,0,173780
258,0,189384
259,0,204765
260,0,221007
261,0,236637
262,0,252260
263,0,267890
264,0,283529
265,0,299155
266,0,314778
267,0,330404
268,0,361040
269,0,376674
270,0,392302
271,0,408560
272,0,424195
273,0,439821
274,0,455445
275,0,471094
276,0,486718
277,0,502330
278,0,517970
279,0,533602
280,0,549223
281,0,564858
282,0,596103
283,0,611736
284,0,627368
285,0,658025
286,0,673654
287,0,689881
288,0,705394
289,0,720581
290,0,736172
291,0,752389
292,0,765008
293,0,778259
294,0,792367
295,0,804582
296,0,820113
297,0,836140
298,0,856353
299,0,869965
300,0,889157
